label,youtube_id,time_start,time_end,split
filling cake,8kpeNz26leA,63,73,train
lawn mower racing,8kq7H-0K_74,6,16,train
playing saxophone,8kq8m-gr_CI,73,83,train
dunking basketball,8kqigdbalyY,3,13,train
clay pottery making,8krWDiyGEGE,82,92,train
carving pumpkin,8kt4jV7nJQ0,3,13,train
throwing ball (not baseball or American football),8ktdVC_Oxmk,19,29,train
gargling,8kv3JpCE6nE,237,247,train
running on treadmill,8kvx7Ehhbeo,5,15,train
playing poker,8kxjDj-X55Q,79,89,train
blowdrying hair,8kyEZo11W2o,0,10,train
using a wrench,8kyM0juFgzU,46,56,train
using segway,8kyXhKasiso,28,38,train
tap dancing,8kykBd-9D3A,15,25,train
cleaning shoes,8kyoI27L9_o,219,229,train
bending metal,8kz-VzPUuQE,163,173,train
bathing dog,8kz_0SPEPlc,37,47,train
opening present,8kzyGtbTqnQ,1,11,train
playing didgeridoo,8l-x8dVoG7o,7,17,train
lawn mower racing,8l0CGJJMDsI,2,12,train
slapping,8l0yTMyoCMs,0,10,train
playing ocarina,8l1CueldDa4,99,109,train
tickling,8l1O2kyuZys,16,26,train
opening bottle (not wine),8l2PTaI14JM,0,10,train
blowing bubble gum,8l3HIbY3t8w,120,130,train
tango dancing,8l3pti4yqcg,2,12,train
tango dancing,8l3qMYF4ViY,22,32,train
bouncing on trampoline,8l3w89j5OM4,2,12,train
throwing knife,8l499eq0k4A,14,24,train
bandaging,8l4dGUAOb7g,23,33,train
hula hooping,8l4iuaJDZ_s,0,10,train
wading through water,8l4mjc5DkFs,16,26,train
using a paint roller,8l566W4fK9o,31,41,train
hugging baby,8l56jimpZ74,0,10,train
ironing,8l72QQVYvSY,0,10,train
unboxing,8l7cEGA-d5U,31,41,train
biking through snow,8l9dZ1GmzrY,6,16,train
shaping bread dough,8lAV_EyA9TU,0,10,train
shaking head,8lBU0D4kNDw,24,34,train
brushing hair,8lBg7-UXk-0,532,542,train
playing netball,8lDdcNtNH4I,436,446,train
drop kicking,8lDsB2oW5Wo,12,22,train
recording music,8lE8iziTEig,138,148,train
changing gear in car,8lEYaTvvq4g,71,81,train
biking through snow,8lF0R0r36qw,168,178,train
fly tying,8lFRLCy8I70,445,455,train
shucking oysters,8lFkYG0k6lk,29,39,train
climbing a rope,8lGFhmPNBXE,7,17,train
baby waking up,8lGNafNyIzw,39,49,train
kicking field goal,8lH6YQA8uXE,1,11,train
opening bottle (not wine),8lHajhGma7Y,1,11,train
headbanging,8lHnOefR8hY,52,62,train
pushing wheelchair,8lIQ_33aRd8,0,10,train
watering plants,8lIS1bSzvwI,23,33,train
inflating balloons,8lI_ziNOJxw,0,10,train
tap dancing,8lJ0A7kkEJY,98,108,train
making pizza,8lJcKeHbeQE,36,46,train
playing gong,8lKoCpZKsug,77,87,train
golf putting,8lKpAaHmMkY,1,11,train
bench pressing,8lKplAF67Kk,55,65,train
alligator wrestling,8lLmQhZqNn4,10,20,train
javelin throw,8lLoxGvJD6g,2,12,train
riding or walking with horse,8lNuMN5jzHg,26,36,train
clay pottery making,8lO7InFAbKo,66,76,train
spraying,8lOJ5onF9Ws,404,414,train
roller skating,8lOmREp_jo8,6,16,train
lunge,8lPsDWGUvfE,0,10,train
sword swallowing,8lPvc0TYRZs,86,96,train
doing laundry,8lRC1tNDXd0,11,21,train
shot put,8lRE5l98P0Y,79,89,train
sanding floor,8lSLhaS8y9I,21,31,train
curling (sport),8lSdp7g07fc,28,38,train
spinning poi,8lSoQluRZ_o,20,30,train
falling off chair,8lTQdsoG24E,6,16,train
water skiing,8lTbF1fZ_eU,5,15,train
