label,youtube_id,time_start,time_end,split
doing aerobics,U94_PojOsAU,75,85,train
bench pressing,U94jWeKh6lw,8,18,train
snowmobiling,U954RI8bsKY,0,10,train
making snowman,U955HZQBQBo,35,45,train
riding snow blower,U95zF9_O61M,33,43,train
archery,U95zc06baeU,0,10,train
paragliding,U967pFnQ7io,605,615,train
crossing eyes,U96UAHhLUU4,0,10,train
playing xylophone,U96UWdc-3Aw,0,10,train
flint knapping,U96YhJ32Sm0,130,140,train
skateboarding,U96pY6VxqD4,56,66,train
hurling (sport),U96yCJDr1lo,104,114,train
battle rope training,U972CMeZoxU,6,16,train
folding paper,U973LHaUks0,89,99,train
licking,U97fKBvT1ZU,18,28,train
stretching arm,U97ktFbE_ZM,45,55,train
trimming trees,U988yFqwrm0,2,12,train
dancing gangnam style,U98VA_cPo2U,194,204,train
lawn mower racing,U98obMAth9w,299,309,train
bouncing on bouncy castle,U995YS7RlLQ,22,32,train
playing ukulele,U99DaKdNOGo,0,10,train
beatboxing,U99IOEerPLo,2,12,train
shooting goal (soccer),U99InrfOB5Q,0,10,train
folding napkins,U99fkWOLxPY,16,26,train
chiseling wood,U9A9oPfw1Ds,257,267,train
high jump,U9AD7C3l_TU,1,11,train
washing hands,U9ADoMTAMjI,47,57,train
triple jump,U9Ab7eQItE0,0,10,train
crying,U9BEwP5N_xk,17,27,train
eating spaghetti,U9BHI88jIwc,9,19,train
changing oil,U9BL3MHzb-g,29,39,train
laying tiles,U9C8mGnnIP8,18,28,train
spinning poi,U9CZDyBSSXU,107,117,train
curling hair,U9CfDroANUo,1002,1012,train
water skiing,U9D2x_ak4sA,127,137,train
making the bed,U9DCl6FYFjY,67,77,train
eating watermelon,U9DIZmNv_h0,158,168,train
massaging neck,U9DMc4TXBww,851,861,train
playing cymbals,U9EUB3bzSlk,137,147,train
jetskiing,U9EitSH2_7w,100,110,train
snorkeling,U9G4bZZG9SY,137,147,train
moving furniture,U9G66P5yr6g,53,63,train
