label,youtube_id,time_start,time_end,split
extinguishing fire,iceYzts_Zhs,999,1009,train
calligraphy,icg3fvxuaRU,23,33,train
pillow fight,icgO2F-CcUo,96,106,train
bottling,icg_LPnWXFc,85,95,train
bee keeping,icgmTSzE68k,60,70,train
tying shoe laces,ichoU0amzOM,0,10,train
eating spaghetti,ici4w8QBKNM,14,24,train
laughing,icjIG4ILR88,0,10,train
testifying,icjL6sRb3K0,2,12,train
eating cake,ickejCNTKFc,1,11,train
kitesurfing,icl-Hb6YJUE,17,27,train
knitting,icl0YGvZgEc,152,162,train
changing oil,icl69yuQW9w,6,16,train
abseiling,icli9CZtwyw,20,30,train
playing guitar,icmB1uzaXJk,537,547,train
slacklining,icmh6K1URvI,0,10,train
mosh pit dancing,icnHONbEWCo,12,22,train
water sliding,icnXkjFJblc,9,19,train
climbing ladder,icnYKPlN54U,21,31,train
playing didgeridoo,icnqs0R-MzU,31,41,train
news anchoring,icpfaVDfPV4,3,13,train
scuba diving,icphSg0LckA,832,842,train
push up,icq89mIJGH4,21,31,train
somersaulting,icqcL5wplXY,10,20,train
long jump,icqqZmb4m5I,0,10,train
throwing discus,icrDI5q7L6Q,405,415,train
salsa dancing,icrH8zZt4FY,16,26,train
cooking chicken,icrZ_xT21Lo,223,233,train
marching,icroHKzom34,109,119,train
canoeing or kayaking,icsBz_yqqGE,153,163,train
snatch weight lifting,icsLIUT0Cwg,2,12,train
air drumming,icsyKWkthqg,181,191,train
flipping pancake,ict1qc4MsCY,14,24,train
changing wheel (not on bike),icuK4Trurp4,45,55,train
playing squash or racquetball,icvBq2hfacQ,223,233,train
tapping pen,icvC68XXvt4,46,56,train
parkour,icvbEW0EleM,32,42,train
dancing charleston,icvrX9uJkkU,62,72,train
swinging on something,icw3-WjGurQ,25,35,train
faceplanting,icweOqQwPFY,10,20,train
playing cards,icx61_WvImc,272,282,train
chiseling stone,icxEy-gkn5M,0,10,train
playing scrabble,icxsQqVxnoU,109,119,train
feeding fish,icyWElncn78,0,10,train
sweeping floor,icychB0BPZg,40,50,train
reading book,icyntUbHGLo,1,11,train
rock scissors paper,iczAu9PHWbw,0,10,train
head stand,iczAwLFNVu0,18,28,train
long jump,iczK_SbAD0I,0,10,train
playing piano,iczLSRTRvTk,17,27,train
bartending,iczf1lWPaIM,201,211,train
playing field hockey,id-HAEl7hpg,0,10,train
juggling soccer ball,id-Q50PPmuw,1,11,train
playing saxophone,id1UwfiJPX4,247,257,train
playing ice hockey,id1qznnOelk,8,18,train
seasoning food,id22vqZnt8k,0,10,train
hoverboarding,id2Vrsm4SHo,76,86,train
jetskiing,id3-zzIFGgw,46,56,train
climbing ladder,id34kQN3WrI,35,45,train
bouncing ball (not juggling),id35dY7YzYU,14,24,train
entering church,id4B0By6Xb8,35,45,train
high jump,id4BJiN83uY,2,12,train
stretching leg,id4NIJzv09E,59,69,train
curling (sport),id4lBOJLHkc,628,638,train
watching tv,id5Dp3JdqmI,19,29,train
playing didgeridoo,id5oo2as0LI,0,10,train
playing basketball,id66m9hwjkM,44,54,train
headbanging,id6vKpMbdIE,4,14,train
skydiving,id78Y8htM0U,346,356,train
knitting,id7W92Z0bbw,87,97,train
massaging back,id8N5un5c-Q,186,196,train
breakdancing,id9crQdF43M,21,31,train
cartwheeling,id9f8FZUiY8,0,10,train
making balloon shapes,idAhasOytQs,453,463,train
playing poker,idB-7FUaC-g,625,635,train
walking on stilts,idBCFch8mfE,39,49,train
jumpstyle dancing,idBWIwMZL1c,32,42,train
celebrating,idBWeqVlX3k,339,349,train
waxing eyebrows,idCGv-SKkBk,2,12,train
hugging (not baby),idCkPlA8xq0,42,52,train
snowmobiling,idCouS9YPa4,2,12,train
changing oil,idCyhkJCfJ8,7,17,train
shaking head,idCywPaOD0k,15,25,train
catching or throwing baseball,idD4K-juvCE,0,10,train
dodgeball,idDCrCVb8GM,35,45,train
treating wood,idDGbOygvhc,266,276,train
putting wallpaper on wall,idDR7R54aQE,158,168,train
huddling,idDkT-EJZPM,10,20,train
climbing a rope,idE2MAHP6_A,15,25,train
home roasting coffee,idE878TmPBw,255,265,train
knitting,idEVN-l5q6I,45,55,train
playing badminton,idEc5TSynUA,39,49,train
skydiving,idFNzuEivYY,31,41,train
playing cello,idFkyHg-eH4,13,23,train
metal detecting,idFnKzur2zI,1186,1196,train
grooming dog,idG0yDR-qiw,454,464,train
fidgeting,idGC1NRYd0Q,80,90,train
checking watch,idGi0-FXG6k,91,101,train
vacuuming floor,idGwFCYtl6c,49,59,train
swimming with sharks,idHWTQVpx4k,0,10,train
eating watermelon,idHeL6BeRvM,195,205,train
water skiing,idHjmnWWrq8,138,148,train
pillow fight,idHwx45ErtI,39,49,train
sweeping floor,idI-GEcPWK4,25,35,train
roller skating,idI8ZWa3zgw,0,10,train
photocopying,idIkNqhduGo,49,59,train
feeding birds,idJ2ZSRzAxY,115,125,train
backflip (human),idJAoBDY-W8,0,10,train
drawing,idJaC4v_dNI,80,90,train
running on treadmill,idKDxdWb0Mk,11,21,train
doing sudoku,idKHxpea8q0,307,317,train
karaoke,idKx98ZcEwo,45,55,train
kissing,idLsfpmM5NA,26,36,train
fly tying,idMSbk_3Fzc,162,172,train
trapezing,idN0a40RezM,35,45,train
dyeing eyebrows,idNMIkjg-3E,155,165,train
grooming dog,idNXvTfkCIM,146,156,train
rolling eyes,idOBRKVpydM,6,16,train
pushing wheelbarrow,idOS-f6p3vA,0,10,train
shearing sheep,idOTNgTB9hY,3,13,train
slacklining,idPLDBNN51g,353,363,train
hoverboarding,idPSf4XpQ_g,8,18,train
hoverboarding,idPvTkH57o8,7,17,train
playing organ,idQDfLiQjsQ,70,80,train
slapping,idQe-xuYgXs,10,20,train
knitting,idQqIruPrTo,793,803,train
shining flashlight,idR8g_-nYYw,59,69,train
playing cymbals,idROUpWHFq8,19,29,train
snowmobiling,idRX30gag70,124,134,train
trapezing,idRiyNogFl0,182,192,train
trapezing,idRmfGBuVnY,30,40,train
throwing ball (not baseball or American football),idS3ZuCrS30,0,10,train
slicing onion,idSXLvfjpDI,286,296,train
parasailing,idSYVcWc6TQ,29,39,train
preparing salad,idS_distWcQ,66,76,train
wading through mud,idTD-HH8pQk,0,10,train
training dog,idT_Iy2EmNw,53,63,train
bench pressing,idT_ZVApccg,17,27,train
blowing glass,idTvXag0Jmk,60,70,train
surfing water,idV3jj2D2HE,54,64,train
grooming dog,idV5MQPdvN8,8,18,train
side kick,idV9YkFiy5Y,29,39,train
golf chipping,idVEy-e9LT8,37,47,train
applying cream,idVJKyZebGs,24,34,train
blowing out candles,idVnornmtIY,4,14,train
playing ping pong,idVuTzNrIPQ,43,53,train
decorating the christmas tree,idVyI25c2ec,6,16,train
raising eyebrows,idWTZbgMBsA,59,69,train
slacklining,idWYMm-OeT4,291,301,train
skydiving,idWbUaiGonc,14,24,train
recording music,idWol1r6rPU,42,52,train
coughing,idY4A2d2M50,8,18,train
paragliding,idYAz6le3N0,25,35,train
snowboarding,idYFKPyAE4U,143,153,train
washing feet,idZL69cMJzM,247,257,train
throwing water balloon,idZPcHArwu8,36,46,train
egg hunting,idZSsEZW5jY,0,10,train
archaeological excavation,idZp8iWYaGk,14,24,train
crying,idaJd57MzDY,191,201,train
treating wood,idafg8jlLq4,89,99,train
smoking hookah,idbPcXrNrTI,0,10,train
snowmobiling,idbZC8rv748,15,25,train
running on treadmill,idb_ghV4mO8,38,48,train
carving pumpkin,idbkvccoNX4,24,34,train
getting a tattoo,idbtkxrvCpE,20,30,train
high jump,idc48Vekdic,4,14,train
spinning plates,idd9kvijZOw,67,77,train
push up,iddpK2alMlk,25,35,train
