label,youtube_id,time_start,time_end,split
bandaging,Swf3fr35b-E,62,72,train
waxing back,Swfy_p13kjM,129,139,train
steering car,SwgFGRiR6_U,45,55,train
waking up,Swgv_CUawK8,22,32,train
grooming cat,SwgxTgUvx2w,18,28,train
carrying weight,Swgy7nwkdpM,0,10,train
helmet diving,Swh9FBbSsCI,0,10,train
brush painting,SwhNrYnBxWU,90,100,train
throwing axe,Swiqnw1B0lU,2,12,train
cleaning windows,Swj8W5thLb4,1,11,train
blasting sand,SwjAH4B_WBE,38,48,train
sausage making,SwjAMKsLN5Y,8,18,train
playing ukulele,SwkalRgGX58,71,81,train
pumping gas,SwlFmn-8YP4,115,125,train
diving cliff,Swm4fHJjo7c,15,25,train
pushing car,SwmH_SwZR0o,181,191,train
making latte art,SwmWsrN2-jI,7,17,train
opening present,Swnga8qZIFk,54,64,train
opening present,SwnjZ5Tphy0,66,76,train
capsizing,SwpOLQq7DjY,77,87,train
scuba diving,Swpj6-Na-KM,171,181,train
plastering,SwqvMNJvWuc,25,35,train
waiting in line,SwsNa5IldY4,122,132,train
bartending,Swupt5zbD9s,132,142,train
smoking pipe,Swwj1lIA4D0,101,111,train
sticking tongue out,SwxIDPITYtg,176,186,train
playing harp,SwxWBifKci0,244,254,train
opening refrigerator,SwyBb2KWOv8,0,10,train
bending metal,SwySHQc1QN0,27,37,train
shearing sheep,SwyUthhdDSw,50,60,train
being in zero gravity,Swyub0UDXUM,48,58,train
pouring wine,SwzIPeA67fI,18,28,train
skipping stone,Sx-RGQUZJ5s,27,37,train
crawling baby,Sx-tzhaqrho,10,20,train
bodysurfing,Sx09xD_65ug,2,12,train
sanding floor,Sx0NYESojYI,15,25,train
playing scrabble,Sx1oS21mVMs,169,179,train
peeling potatoes,Sx2cg6jsxNw,16,26,train
geocaching,Sx2nWzrcAbg,28,38,train
headbanging,Sx3QaZCL_7Y,34,44,train
shaking hands,Sx4PviYHy3k,6,16,train
headbutting,Sx4g2h7WT7o,2,12,train
stretching arm,Sx4zfz7DJEQ,1188,1198,train
country line dancing,Sx5rCL2xuBY,156,166,train
fidgeting,Sx6sRdrsVPQ,116,126,train
peeling banana,Sx6tvCAQdjI,38,48,train
massaging person's head,Sx78PDRyr70,1,11,train
mushroom foraging,Sx7mz-p9AeQ,27,37,train
rolling pastry,Sx97E4DFcMk,2,12,train
exercising with an exercise ball,Sx9hSuvyfps,0,10,train
sharpening pencil,Sx9wOa4X9fM,13,23,train
changing wheel (not on bike),SxA9W74r4LA,60,70,train
push up,SxB0Rk0zrcY,40,50,train
checking watch,SxD7Yyyf1YI,85,95,train
writing,SxDOaiY7MnE,130,140,train
cleaning gutters,SxDRDEGz94I,88,98,train
squat,SxDqEqCkR2o,0,10,train
moving baby,SxEhXZqm1Qk,3,13,train
sewing,SxEiIA7ZLKo,158,168,train
applauding,SxG6gDZlmkE,50,60,train
stretching leg,SxH20KXkjis,173,183,train
pushing cart,SxHEeMqxsx4,0,10,train
building shed,SxHSDQrQipI,66,76,train
shearing sheep,SxHfPEBfl3A,291,301,train
sticking tongue out,SxIDJVuGgrE,2,12,train
gargling,SxIxuaCdDQo,25,35,train
washing hands,SxJAlry1VXM,72,82,train
repairing puncture,SxJiH7BrOSg,52,62,train
hammer throw,SxKaDPQmvQk,1093,1103,train
home roasting coffee,SxLLSHm4-bU,6,16,train
staring,SxLdjKYdBlg,8,18,train
jetskiing,SxM8fOopXI0,298,308,train
eating chips,SxMUksTfO4k,364,374,train
