label,youtube_id,time_start,time_end,split
playing harp,eniaWNPABfI,51,61,train
shredding paper,enjG3hRmvzs,565,575,train
playing lute,enjyf8F2YZE,239,249,train
petting horse,enlARzHfvGM,0,10,train
dining,enldJSmhIf4,170,180,train
pole vault,enlpNa2TfsU,2,12,train
repairing puncture,ennV0BVFZVw,96,106,train
blowing leaves,enphQLHQmUI,58,68,train
catching or throwing softball,enqF_q4ugVU,10,20,train
catching fish,enr0ogDbVDQ,35,45,train
stacking cups,ens4KRCNQto,7,17,train
playing saxophone,ens4xUisrTA,14,24,train
riding elephant,entBDcGMpuo,121,131,train
pirouetting,entJM4HySnQ,0,10,train
swing dancing,entSFuVs0lA,73,83,train
cutting pineapple,entpl7oAnn0,19,29,train
watering plants,enubrWQg7Wk,81,91,train
cutting nails,env1jrKAoYs,28,38,train
playing rubiks cube,envJqhRjomE,1,11,train
blending fruit,envsMS0FmNk,0,10,train
shaving legs,enwV6XHWy-0,411,421,train
opening coconuts,enx5KO41Y_Q,5,15,train
spinning plates,enxQheJIBEk,28,38,train
separating eggs,enxXJtU0ZBQ,58,68,train
rope pushdown,enxZWYVPQgY,39,49,train
playing harp,eny-eUVEHp8,0,10,train
carving marble,eo-5_JPaaD0,0,10,train
high fiving,eo-L0baFqjs,0,10,train
using bagging machine,eo0TYJ1W26w,0,10,train
building sandcastle,eo0oOQPYPCU,0,10,train
stretching leg,eo2QFniX4dg,0,10,train
putting wallpaper on wall,eo34PIw-bPU,31,41,train
using a paint roller,eo4DzmwnF2M,22,32,train
laying tiles,eo5j308Ttss,5,15,train
chopping meat,eo61O3BaAkA,4,14,train
skateboarding,eo6z85bjg2o,228,238,train
waving hand,eo7XgAylrjY,3,13,train
sweeping floor,eo7iASzAjwY,9,19,train
card throwing,eo89FY6Mums,67,77,train
wading through mud,eo8pqtqPrxA,0,10,train
feeding birds,eo9SkQN_BdQ,31,41,train
reading newspaper,eo9fWv7oMIw,0,10,train
jumping into pool,eo9zQloPG3I,13,23,train
wading through mud,eoA8_8lcQyo,107,117,train
clam digging,eoABDKKJ8bM,0,10,train
shot put,eoB8swFN8jw,41,51,train
