label,youtube_id,time_start,time_end,split
chasing,sLl6iLIlhQ4,1,11,train
bouncing on bouncy castle,sLlQdt_wL1I,30,40,train
blowdrying hair,sLmN_iQkgY4,41,51,train
talking on cell phone,sLnIAJGOZlU,90,100,train
longboarding,sLneMEJy5js,21,31,train
laying concrete,sLnfTFx-Gtg,89,99,train
sewing,sLoWec7L7hk,182,192,train
stretching arm,sLp9x1LHTYY,19,29,train
cartwheeling,sLpZZXC2lWU,8,18,train
hula hooping,sLrSwSg8l9o,16,26,train
taking photo,sLrYPVLIbTQ,155,165,train
square dancing,sLryfPS-QI0,168,178,train
checking watch,sLsQCIWeEng,165,175,train
stacking dice,sLswKDk_a9k,10,20,train
springboard diving,sLtk86b0T5s,5,15,train
pulling rope (game),sLtqQSV96Dw,46,56,train
playing organ,sLuEgHFXtoM,19,29,train
blowing nose,sLvwoNHE5hE,87,97,train
being in zero gravity,sLwW3pdXkFo,42,52,train
sieving,sLwieQ-PNik,48,58,train
high kick,sLx2j90D6oM,19,29,train
making jewelry,sLxZY0dhMrQ,3,13,train
checking tires,sLxl0fZ6gkw,118,128,train
stretching leg,sLy3vnkk_H4,152,162,train
shooting off fireworks,sLyNrz5QZfQ,39,49,train
curling (sport),sLzhr0HzmkA,3,13,train
playing basketball,sLzpoVdQuao,13,23,train
motorcycling,sM-8pmw8-AI,112,122,train
juggling soccer ball,sM18XGpjq9M,48,58,train
backflip (human),sM1lsvYYKXk,0,10,train
playing with trains,sM21UGN9l68,19,29,train
throwing ball (not baseball or American football),sM2AVJHcMWU,0,10,train
petting horse,sM2vOXvTGYY,0,10,train
putting on lipstick,sM3X2cZefs0,16,26,train
battle rope training,sM3uTGBNGw8,23,33,train
standing on hands,sM4d7z_SArI,0,10,train
exercising arm,sM50amoucns,15,25,train
braiding hair,sM5sARNeJio,42,52,train
hurdling,sM6I0MOcMy8,6,16,train
headbutting,sM6lmfckqy4,6,16,train
playing with trains,sM6zgeQwi0k,189,199,train
waxing eyebrows,sM70ZwA8fXc,19,29,train
jaywalking,sM7X1HRdKRs,0,10,train
weaving fabric,sM8NOlCTITY,3,13,train
playing ping pong,sM8SgQJCoZU,25,35,train
playing harp,sM8uHy55NR0,0,10,train
weaving basket,sM9AhkPb0kc,64,74,train
steering car,sM9UkYVdA1s,0,10,train
picking apples,sM9oBrwGzp4,62,72,train
person collecting garbage,sMATrGKRFE4,16,26,train
playing poker,sMAXLgQ2vto,6,16,train
raising eyebrows,sMAjQWq2kBw,0,10,train
robot dancing,sMAmOQzwqiA,3,13,train
sticking tongue out,sMBSGLTINbU,3,13,train
shopping,sMCOScZ1Jdw,0,10,train
filling cake,sMCSujfxAj8,403,413,train
playing chess,sMCW7i7cYp0,41,51,train
finger snapping,sMCqK-eQ2Gc,3,13,train
chopping wood,sMDxZz8OpDk,86,96,train
moving baby,sMDxn-CKX6Y,16,26,train
rolling eyes,sME3MOwc_5Y,0,10,train
chiseling wood,sMEGtaotSBk,480,490,train
hammer throw,sME_sWAfl9E,6,16,train
playing checkers,sMEc5g0OPPQ,73,83,train
bartending,sMElDid7cDI,3152,3162,train
raising eyebrows,sMGy5EoLNc8,11,21,train
dunking basketball,sMIjxVTe1fc,7,17,train
installing carpet,sMJ2cvmjxtM,16,26,train
jumping sofa,sMJOI5JkC5I,116,126,train
auctioning,sMJaU5EH_qM,84,94,train
salsa dancing,sMJpMeKuaws,5,15,train
riding scooter,sMK76deBNAI,17,27,train
tying bow tie,sMKB4M8EWzY,240,250,train
scuba diving,sMKBriuXdk8,28,38,train
playing cymbals,sMKKvwhjn4U,182,192,train
playing piano,sMKN6lJnX9E,8,18,train
tackling,sMK_YRbVG5k,28,38,train
tobogganing,sMKlKZI2IgE,2,12,train
blowing bubble gum,sML1MkA34f0,54,64,train
planting trees,sML1drJ50UU,73,83,train
auctioning,sMLKhW89-us,77,87,train
playing poker,sMLRibWyoYM,105,115,train
playing cello,sMNwrhAsR_M,89,99,train
gymnastics tumbling,sMO0eIlNHK4,0,10,train
sailing,sMOByyFR57Q,53,63,train
crawling baby,sMOPF_-o9Pc,15,25,train
zumba,sMOYHpsoa8I,131,141,train
making paper aeroplanes,sMOa3e-Hy-k,169,179,train
archery,sMPDcWAqPDY,50,60,train
playing kickball,sMPOXCaNnPw,8,18,train
crawling baby,sMPOitz9eC0,0,10,train
sanding wood,sMPgJnfcC8I,238,248,train
sanding floor,sMPgJnfcC8I,243,253,train
threading needle,sMRCc4RMDd0,161,171,train
raising eyebrows,sMRZQJ8fk8A,12,22,train
country line dancing,sMS08nzCz2s,112,122,train
twiddling fingers,sMShqLurHJY,96,106,train
waxing eyebrows,sMT4aUGP8JA,253,263,train
changing oil,sMTeesKCdSE,482,492,train
eating watermelon,sMUE8dUgZXE,16,26,train
playing clarinet,sMUT2nDYMDY,484,494,train
playing volleyball,sMW_2AYqQ_M,3,13,train
clapping,sMXOczkRd-I,0,10,train
hugging (not baby),sMXcaH9geTI,10,20,train
riding or walking with horse,sMXdaTYKXqY,170,180,train
cooking chicken,sMYgiWy_2gw,1,11,train
holding snake,sMYs8Y1EdHM,14,24,train
pushing cart,sMYsza-XQPc,1,11,train
smoking,sMZOK1ctOE8,1499,1509,train
carrying baby,sM_fdni1z-8,60,70,train
water sliding,sMalraq3KkI,18,28,train
tying bow tie,sMbaAso6WG4,109,119,train
using remote controller (not gaming),sMcHD1G7AbA,0,10,train
poaching eggs,sMd-_1Oj5vg,47,57,train
rock climbing,sMdLjUbGvgw,32,42,train
burping,sMdwOie78hM,8,18,train
shooting basketball,sMe3pJ7e7BA,131,141,train
opening bottle (not wine),sMeSbUh8EqA,9,19,train
high jump,sMeXGBpbJG0,2,12,train
smelling feet,sMfjsNJcDW4,0,10,train
frying vegetables,sMgfbxoLGTg,2,12,train
crocheting,sMiRiFaaTjs,432,442,train
sticking tongue out,sMism4ytifE,19,29,train
chopping wood,sMizO4ForUw,4,14,train
setting table,sMj3OBaan8Q,60,70,train
pushing cart,sMjQeDG69pk,11,21,train
cumbia,sMjn30B6fKY,414,424,train
cutting cake,sMjplEi8RPY,11,21,train
shoveling snow,sMkGUKHs6Bw,102,112,train
playing oboe,sMkLAj1fOQA,26,36,train
diving cliff,sMl-Lzch7Sg,1,11,train
rolling eyes,sMl94J6fbDw,0,10,train
catching or throwing baseball,sMlB9LD2XIM,6,16,train
waving hand,sMlXAExUEqU,20,30,train
sanding wood,sMmUjVGGy3M,0,10,train
moon walking,sMmV9jW3TPQ,0,10,train
kicking soccer ball,sMmj9oGxQVU,247,257,train
carving pumpkin,sMnXbrec_RI,196,206,train
petting cat,sMncQT40c9M,6,16,train
faceplanting,sMnvCd0gfNI,5,15,train
playing bass guitar,sMoXZ8F-g5U,64,74,train
side kick,sMp26VV0sqo,189,199,train
high jump,sMp9nB15Z3k,2,12,train
triple jump,sMpNmedC8_8,27,37,train
jetskiing,sMpx825H38c,397,407,train
clay pottery making,sMqka_dNmho,61,71,train
washing dishes,sMrYQuk6V7Y,8,18,train
shoveling snow,sMrnM80v0Dw,30,40,train
brushing teeth,sMsKIEQkr70,0,10,train
scrubbing face,sMsrZDdEbfI,59,69,train
herding cattle,sMtC_z8JTfA,16,26,train
baking cookies,sMtNPtNneAw,36,46,train
flying kite,sMtcdADtkNU,4,14,train
arranging flowers,sMuckgeQAN0,247,257,train
grinding meat,sMunhh5W_vo,186,196,train
sweeping floor,sMvDBokkTp0,37,47,train
krumping,sMwBA6PiZQ0,45,55,train
fly tying,sMwkGpSZsFY,506,516,train
catching fish,sMwnytQeZs8,73,83,train
herding cattle,sMxFPxz1BKo,32,42,train
swimming butterfly stroke,sMxGA7Mut7U,2,12,train
playing ukulele,sMxItSwN5Ck,409,419,train
sieving,sMxrMkPphcI,14,24,train
laying stone,sMxzqNr2F_o,87,97,train
frying vegetables,sMy8OczxcrA,223,233,train
archery,sMy_3revofw,40,50,train
mowing lawn,sMymLGt0D1o,10,20,train
chiseling wood,sMyrTgB4qEE,0,10,train
fixing bicycle,sMzARrGPVyY,0,10,train
shot put,sN-DOOoGIvo,4,14,train
playing squash or racquetball,sN08YmNbpZ0,281,291,train
poaching eggs,sN0CiDmTZE8,61,71,train
setting table,sN0R6qhDBhQ,36,46,train
waxing legs,sN11Lu6D6uc,334,344,train
using a paint roller,sN1NeJOrN1k,138,148,train
hand washing clothes,sN2SAB_aH-k,85,95,train
doing sudoku,sN3D0Sh_dfM,219,229,train
motorcycling,sN3du79NQI8,23,33,train
blowing nose,sN3kUM3DOqo,0,10,train
tightrope walking,sN431FxbL4A,0,10,train
bookbinding,sN4YbqcScE0,253,263,train
blowdrying hair,sN4r63zTyWw,234,244,train
changing oil,sN5tyGU26qw,292,302,train
brushing teeth,sN6TdhWnRhs,70,80,train
squeezing orange,sN6raQ_DIQY,0,10,train
blowdrying hair,sN7XhJNMa2g,12,22,train
abseiling,sN80RbKSei0,14,24,train
leatherworking,sN8sVDCcWwk,162,172,train
opening present,sN9O-MO-uUk,60,70,train
brushing teeth,sN9o-NxPUIw,54,64,train
robot dancing,sN9w9JfauYc,118,128,train
eating spaghetti,sNAZmLmyCJk,130,140,train
trimming or shaving beard,sNBYqV4_dr0,259,269,train
building sandcastle,sNCJU37nuac,12,22,train
squeezing orange,sNCc4OsZhqc,134,144,train
bandaging,sNEq9IYzC6w,389,399,train
shearing sheep,sNFesP4tySw,35,45,train
exercising with an exercise ball,sNFtZLKYWw4,19,29,train
making tea,sNFy77p3GZU,49,59,train
spelunking,sNGMA5pz9k0,74,84,train
longboarding,sNGb4LOUF0I,139,149,train
sipping cup,sNGh3bGo9mg,14,24,train
unloading truck,sNGhAkEMhLM,2,12,train
juggling fire,sNHPYnqmyRY,30,40,train
playing polo,sNHcek9BUhs,99,109,train
cleaning windows,sNIJG2K00h8,21,31,train
contorting,sNIPNXsKBrU,79,89,train
playing squash or racquetball,sNJ6_N0j9Ts,67,77,train
laying tiles,sNJM41hYUZg,89,99,train
climbing ladder,sNK9M1KcKTI,1,11,train
ice swimming,sNLs3P7tkQI,70,80,train
blending fruit,sNLxV9jxTKk,30,40,train
looking at phone,sNMC6u5drIg,0,10,train
playing gong,sNMFnubsfe8,40,50,train
tiptoeing,sNMZTIqqbnI,0,10,train
steer roping,sNMeWiTqKKE,22,32,train
playing netball,sNMmDv5svzc,2,12,train
playing american football,sNNIJ1LAVSM,16,26,train
pulling rope (game),sNNro_BWgvQ,0,10,train
picking apples,sNOJmQSfc6A,15,25,train
exercising with an exercise ball,sNOgoh1fv8I,105,115,train
swing dancing,sNOmKKDsKaM,10,20,train
catching fish,sNOnW_FHGx0,427,437,train
blasting sand,sNPHtl8OjNo,6,16,train
jumping sofa,sNPavOX6Jbo,15,25,train
filling eyebrows,sNQCCD0Pp7M,984,994,train
hurling (sport),sNQQ2Fpxbzw,72,82,train
packing,sNQ_KJp_ry0,314,324,train
playing with trains,sNS2FJtf-jU,57,67,train
snowkiting,sNSXPt69rV0,71,81,train
dunking basketball,sNSY3BzL9jM,0,10,train
sucking lolly,sNSgLbelA5g,0,10,train
raising eyebrows,sNSwZYDjcps,24,34,train
playing chess,sNT093c1_wc,0,10,train
pretending to be a statue,sNT4VHLV-_M,40,50,train
juggling soccer ball,sNTBOAiHQfY,2,12,train
building sandcastle,sNTD1FStVfo,31,41,train
hockey stop,sNTZkvV4MaI,48,58,train
playing flute,sNT_Ie4hcj0,84,94,train
playing piccolo,sNT_Ie4hcj0,87,97,train
surfing water,sNTnRsgn1rU,4,14,train
fly tying,sNU-RZ2Q5Kg,283,293,train
capsizing,sNUgTVEtIJw,0,10,train
hula hooping,sNUnBrTp738,34,44,train
hurdling,sNUz_hu28Ro,2,12,train
putting on foundation,sNWKAtSbHUs,276,286,train
playing road hockey,sNWKgmAdT_U,14,24,train
home roasting coffee,sNWW05fQP4A,30,40,train
swimming with dolphins,sNWul8gRZ1s,77,87,train
stacking dice,sNXNIUKx4LA,25,35,train
washing feet,sNXNYsnNYT8,2,12,train
riding elephant,sNXO2Tx8YLs,18,28,train
climbing tree,sNXlng7184A,14,24,train
high jump,sNXwKJQDoTU,0,10,train
kicking soccer ball,sNY5vO5jMT0,1,11,train
