label,youtube_id,time_start,time_end,split
using a sledge hammer,Ri0587SpG9s,22,32,train
ice climbing,Ri0ESk0glJo,5,15,train
shuffling cards,Ri0ptqKXq10,13,23,train
folding paper,Ri1GaLTfVMM,10,20,train
laying concrete,Ri1RiqKT3qw,16,26,train
geocaching,Ri2HL-v0EvY,352,362,train
capsizing,Ri2XgI0BXOo,86,96,train
ice climbing,Ri3BKpSkKkg,19,29,train
casting fishing line,Ri3QWI98Cco,0,10,train
metal detecting,Ri3eawTOhrM,485,495,train
skateboarding,Ri3qkTFDfM4,150,160,train
barbequing,Ri4K5LUIpm8,96,106,train
cooking egg,Ri4kQvl-t7w,205,215,train
scrambling eggs,Ri4uxR0pU8w,45,55,train
playing maracas,Ri50I32InJI,68,78,train
milking goat,Ri5XKX8B51Y,44,54,train
bouncing on trampoline,Ri5ZGJGWPvs,1,11,train
hammer throw,Ri5n2vmbbAI,14,24,train
ice climbing,Ri6LgXwaHyw,24,34,train
metal detecting,Ri6fBhzfbvM,211,221,train
playing basketball,Ri6fPRv1Cng,13,23,train
riding elephant,Ri7U5kxjr1g,3,13,train
using segway,Ri8DDbNh7BE,141,151,train
laying concrete,Ri9Cn2-c0BQ,25,35,train
mountain climber (exercise),Ri9K9kE_tUY,0,10,train
kicking field goal,RiAbOe6Xi9I,0,10,train
playing gong,RiAcHFXtNb0,0,10,train
sanding wood,RiAl7aGraXA,4,14,train
pouring wine,RiBNyT12dAk,0,10,train
plastering,RiBXY_zzuEc,41,51,train
cosplaying,RiCPgor3XnQ,123,133,train
battle rope training,RiCgdULyIeI,23,33,train
using inhaler,RiDO28k8r60,14,24,train
scuba diving,RiDZEbpE-6o,186,196,train
playing mahjong,RiDc0yuYPM0,0,10,train
parkour,RiEayCKI6II,0,10,train
throwing axe,RiEbf7Lw0Eg,810,820,train
doing aerobics,RiF93YZ16xE,571,581,train
dining,RiGHbTDUXJ8,48,58,train
capoeira,RiGMCvvrgp4,2,12,train
filling eyebrows,RiGV65o1wSg,238,248,train
juggling fire,RiGwKoSRxqk,266,276,train
walking with crutches,RiHc726mzqQ,0,10,train
shouting,RiHwgRhntwA,0,10,train
backflip (human),RiJUCku4woQ,0,10,train
swimming butterfly stroke,RiKpDg7vUbI,20,30,train
cartwheeling,RiM5g306ruk,0,10,train
