label,youtube_id,time_start,time_end,split
presenting weather forecast,4edZ8Jtz3-8,50,60,train
playing paintball,4ee9AXLznJQ,730,740,train
playing keyboard,4eeA-gswYjc,19,29,train
folding clothes,4eeNvKKAY-c,101,111,train
shaking head,4eebysdxxfU,4,14,train
planting trees,4efgUwjTl_0,122,132,train
driving tractor,4eg--Aie8mc,592,602,train
carving pumpkin,4eg04D2ciJw,0,10,train
golf chipping,4eh-ltrCTEg,24,34,train
using inhaler,4eh1P9-a-1A,190,200,train
adjusting glasses,4ehL7sTokuQ,26,36,train
wrapping present,4eiKqHm86dQ,375,385,train
playing ice hockey,4eiN_ZpXibM,11,21,train
making pizza,4eizAcezTkg,124,134,train
cutting pineapple,4ejIWuOPDL0,2,12,train
shooting basketball,4ekQi9hWMyY,584,594,train
breaking boards,4ekjyUO2jLY,28,38,train
blasting sand,4el9EU-KeSY,108,118,train
making tea,4el9ybEcCII,66,76,train
bobsledding,4elASzt7F5s,0,10,train
combing hair,4elEZqBPY1g,35,45,train
bobsledding,4elHHt8KqEw,3,13,train
cleaning gutters,4em245o_FA8,32,42,train
adjusting glasses,4em6fTAfA0Q,70,80,train
juggling balls,4emAwJR55Q0,0,10,train
water skiing,4emR_5uigwI,176,186,train
situp,4emVGEoGvLA,174,184,train
opening wine bottle,4emm_t7GK5s,35,45,train
washing hair,4enEW0CO1gI,883,893,train
watching tv,4eoTo-KNkYA,65,75,train
blowing glass,4eoUDqgBewo,71,81,train
tickling,4eoVK1Yj2n8,5,15,train
tightrope walking,4eodKaLuNzY,0,10,train
brushing teeth,4eoh4uU9RWM,6,16,train
ice fishing,4epEf8NasFw,145,155,train
shaking hands,4epN8o2f56A,36,46,train
pumping fist,4epkNJxSzJ4,4,14,train
headbanging,4eqUBsTfuA8,204,214,train
cooking egg,4erRTtzjNSQ,3,13,train
playing blackjack,4erWLJ9qayQ,130,140,train
opening wine bottle,4esBLyW0oE0,52,62,train
shoveling snow,4esKRaKDPLU,23,33,train
doing laundry,4esUZKQooEM,2,12,train
lunge,4etRPs1grkU,2,12,train
eating burger,4ett-vYZHFk,77,87,train
waxing eyebrows,4ety-fTYzeI,0,10,train
trapezing,4etzU6aZHUU,13,23,train
capsizing,4eu3iyfAfVs,3,13,train
dyeing eyebrows,4eubFFTn5PM,232,242,train
throwing ball (not baseball or American football),4euhr6iycEo,0,10,train
hoverboarding,4ev-8m_wd9o,44,54,train
applauding,4ev_J5YUwPE,10,20,train
brushing hair,4evzn4OxTgs,7,17,train
backflip (human),4ewBZFJQnJ8,0,10,train
making a cake,4ewFeKa6VL4,404,414,train
disc golfing,4ewRKLcwUp0,54,64,train
jetskiing,4ewkLilw-iA,68,78,train
person collecting garbage,4exrWaXcqoQ,43,53,train
flying kite,4ezkcsBCBDg,4,14,train
playing accordion,4f-tfHlYJME,43,53,train
waxing legs,4f0AsgdXpdY,0,10,train
playing tennis,4f0M3D1FaDE,304,314,train
closing door,4f0khYi_NyI,31,41,train
brushing teeth,4f1fjUg0q2U,30,40,train
playing kickball,4f1h7A59KkA,86,96,train
air drumming,4f1q05ey88s,52,62,train
kicking soccer ball,4f3f5EMEIqY,0,10,train
carrying baby,4f3f5PuEc_M,62,72,train
arm wrestling,4f43MO-PgGQ,21,31,train
salsa dancing,4f43QcdSMuU,22,32,train
laying bricks,4f4yOPqDWJk,83,93,train
eating cake,4f5Cmellhjw,15,25,train
scrambling eggs,4f5glWr7zNY,282,292,train
playing ice hockey,4f6LSau5kzU,115,125,train
hammer throw,4f6d-smijYw,0,10,train
bandaging,4f7LhHk0j8o,127,137,train
