label,youtube_id,time_start,time_end,split
capsizing,GhdqCK64nvA,0,10,train
filling eyebrows,Ghe5LAWuHzQ,871,881,train
krumping,GheBMPZ-WrA,187,197,train
giving or receiving award,GheKYbpwGgo,12,22,train
slacklining,GheUDq91jU0,1,11,train
golf chipping,GhezgSbKjiA,9,19,train
stacking cups,Ghf9xqyGgA0,6,16,train
massaging legs,GhfKh5DGI2o,132,142,train
washing feet,GhfTQxzwJ-M,378,388,train
cleaning windows,GhfaYim0Sd0,47,57,train
tagging graffiti,GhfjVsgfqP4,133,143,train
playing scrabble,GhfmyOwLxMA,117,127,train
stacking dice,GhgIW2Dc4wY,97,107,train
putting on shoes,Ghga31syyOU,15,25,train
bulldozing,Ghgxl4x9144,36,46,train
smelling feet,GhgzIhBmefA,5,15,train
smelling feet,GhhKKcXh5lc,20,30,train
vacuuming floor,Ghheuce3s3s,0,10,train
massaging person's head,GhhjqW9vBZk,322,332,train
tasting wine,Ghi4q0f6Xtw,242,252,train
fly tying,GhiJavxzd1Y,421,431,train
arm wrestling,GhizPUWw9a8,30,40,train
playing xylophone,GhjplSF3gcI,1,11,train
contact juggling,GhkJY6xx75A,2,12,train
preparing salad,Ghkck8eJZcg,2,12,train
ice fishing,GhkgitTBHzU,83,93,train
planting trees,GhktqoG8INU,13,23,train
spray painting,Ghl-2oa2Pto,9,19,train
dunking basketball,GhlfE8lgWY4,173,183,train
roasting marshmallows,GhljChFiL5I,1,11,train
shot put,GhmY9zxJyeo,2,12,train
tapping guitar,Ghn4g_EO0RU,0,10,train
eating cake,GhnjUkRhf0s,176,186,train
jumping sofa,Gho3yGraaOM,1,11,train
sled dog racing,Gho5pbA355o,274,284,train
tap dancing,GhpDP7vZ97s,97,107,train
playing oboe,GhpuEhOAUSg,265,275,train
headbanging,GhrYOEPonVU,0,10,train
hugging baby,GhsgwYrla8k,92,102,train
playing basketball,Ght7pKQSdMg,76,86,train
pulling rope (game),GhtMHlLRNvQ,0,10,train
throwing axe,GhuZNRGzqow,0,10,train
dancing ballet,GhuczqjDN0w,204,214,train
high jump,Ghve-1Gd2vU,119,129,train
putting on mascara,GhvnMl17W4A,13,23,train
rope pushdown,GhvqDDVNevo,19,29,train
squeezing orange,GhwO5ixp6x8,58,68,train
surfing crowd,GhwlCz9bfjU,0,10,train
wrapping present,GhxFTLndp6w,125,135,train
laying tiles,GhxZWUPxvXE,1155,1165,train
eating cake,GhxfA4fdiBY,56,66,train
battle rope training,GhxmDk2zvGE,9,19,train
juggling balls,Ghxp0m85cHE,35,45,train
wrapping present,Ghxthn7cvhM,30,40,train
arguing,Ghy_8_RKmQg,7,17,train
getting a tattoo,GhzI86Ak_r0,0,10,train
standing on hands,GhzWjqwX-O8,12,22,train
playing drums,Gi-Jtweiqw0,56,66,train
massaging person's head,Gi-fvKoptb4,12,22,train
contorting,Gi075iJSxcE,0,10,train
gymnastics tumbling,Gi09X2psNUk,6,16,train
throwing ball (not baseball or American football),Gi0WOCp21hI,2,12,train
kissing,Gi1hyHKsWjo,74,84,train
changing gear in car,Gi1pYBrB7OY,38,48,train
hitting baseball,Gi1zN4zedJY,18,28,train
playing piano,Gi2QKxsxp_k,0,10,train
throwing knife,Gi2s7QmYGVA,12,22,train
weaving fabric,Gi36inB9zyA,102,112,train
shearing sheep,Gi42XBzDfiI,111,121,train
walking the dog,Gi5sXnt1cBM,34,44,train
gymnastics tumbling,Gi6RLG69BFE,26,36,train
tai chi,Gi6Sh56CSJs,550,560,train
