label,youtube_id,time_start,time_end,split
eating nachos,HzMwNMooDRQ,106,116,train
making sushi,HzNkr_Fqqr0,2,12,train
luge,HzO-QXUsHb4,83,93,train
breathing fire,HzOEnZ-Y8kU,13,23,train
riding snow blower,HzQ330eCRCY,0,10,train
chiseling stone,HzQI38g6q0I,64,74,train
blowing leaves,HzRTChpyBy0,7,17,train
steering car,HzS0WRNzFqs,0,10,train
shopping,HzSpzwiA3AA,16,26,train
tasting beer,HzT8wUSVMsA,1,11,train
playing pan pipes,HzTRJG8Mz6s,53,63,train
riding elephant,HzTq1MPnSjg,1,11,train
using remote controller (not gaming),HzVJ3FqY7qA,4,14,train
chasing,HzWF2k0agIA,2,12,train
stacking dice,HzXdVrde2Do,32,42,train
using a sledge hammer,HzXmEM8c3yg,16,26,train
pushing cart,HzXnpZQJSvI,25,35,train
blowing out candles,HzYSYFzb7r0,4,14,train
being in zero gravity,HzYcq3_dxks,159,169,train
playing badminton,HzZP5PVc080,208,218,train
cutting cake,Hz_1kG9ApjI,7,17,train
playing pinball,Hz_vlhXitkE,2,12,train
pirouetting,HzbcJuyWAj0,19,29,train
braiding hair,HzcR8hAlAbI,29,39,train
putting in contact lenses,Hzd4dTwp7ao,929,939,train
hula hooping,HzdwxdOsu54,120,130,train
playing road hockey,Hze075GNTVk,33,43,train
playing kickball,Hze4zZCKa_Y,64,74,train
curling eyelashes,Hzf8Bez0dIY,468,478,train
spelunking,HzfrCtYu5zc,125,135,train
arguing,HzgyDesiCM8,5,15,train
tapping guitar,HzhINmWIftg,31,41,train
washing hair,Hzi-kO-l3ic,47,57,train
waiting in line,HziXxbhmSxs,0,10,train
cutting nails,HziyeBAFLhM,8,18,train
cleaning windows,HzjKZpGBex8,37,47,train
tossing salad,HzjuKGanbHo,131,141,train
folding napkins,HzksTCQ95BE,24,34,train
smashing,HzkyebwYp08,11,21,train
pushing car,HzlX2GPZZeg,108,118,train
opening refrigerator,Hzn1CZv2jNk,7,17,train
archery,Hzn2puv3HIM,228,238,train
bodysurfing,HznJr3MFqSw,0,10,train
vacuuming floor,HznNrgamxvM,109,119,train
playing cricket,Hznhxv7SM8E,61,71,train
using bagging machine,HzoAtBiI5ss,218,228,train
bending metal,HzoUIn5fyGg,83,93,train
scuba diving,Hzpp24uBZEA,68,78,train
laying decking,HzqRl9_0bjw,124,134,train
bending back,HzqaVVBBSTk,76,86,train
tasting beer,Hzqrb8sx36E,15,25,train
grooming cat,HzsHUvXcepw,35,45,train
preparing salad,HztDpcTTsig,520,530,train
vacuuming floor,HztmfyKUBfA,68,78,train
playing billiards,Hzu-rDr5t00,102,112,train
throwing knife,Hzu6MG7uCqU,65,75,train
bathing dog,HzvDZ7QqO_c,70,80,train
threading needle,Hzwbw9jm6qE,69,79,train
catching or throwing baseball,HzwdG5lkNH4,0,10,train
catching or throwing baseball,HzyUUAXYQzM,30,40,train
bouncing on trampoline,Hzz6aX0Yru4,138,148,train
catching fish,I--IBPK3PV4,46,56,train
putting on mascara,I--RhPz7RRM,76,86,train
dealing cards,I--SZBGvS7M,0,10,train
scuba diving,I--XYbN-42o,4,14,train
waxing chest,I-0-gLsytTc,498,508,train
curling (sport),I-0EP3Oi5_0,13,23,train
