label,youtube_id,time_start,time_end,split
pumping fist,WesGeh-0S7c,31,41,train
combing hair,Wet9QOVaRPM,458,468,train
smoking pipe,Wetz0TeTMlg,368,378,train
falling off chair,Weu69mWZrhU,6,16,train
arguing,WeugISGRJ6s,19,29,train
walking through snow,WeulPQpSUtQ,58,68,train
washing hair,WeuyKn5beAc,55,65,train
headbanging,WevkgL-DLFU,9,19,train
rock climbing,WevpwmeKjEM,74,84,train
polishing furniture,WewBC4qeGD8,115,125,train
sucking lolly,Wewzlcg-LhI,0,10,train
fly tying,WexF6NNKZUw,338,348,train
making paper aeroplanes,Wey4v3TR8BY,94,104,train
throwing knife,WeyfIWkGlvc,25,35,train
bartending,WezGJ4mbpi8,245,255,train
winking,WezxrR9z8Lo,10,20,train
frying vegetables,Wf-MQcXdPCo,107,117,train
cutting watermelon,Wf07x9g4YbY,30,40,train
kicking soccer ball,Wf0B8aJniTQ,60,70,train
weaving basket,Wf1BogO56T4,36,46,train
sled dog racing,Wf1e0sH30Ow,525,535,train
petting horse,Wf2VIN6rFqg,152,162,train
abseiling,Wf3x6WHtLuQ,166,176,train
eating nachos,Wf40XPcQqzI,22,32,train
climbing a rope,Wf4E0s-SDuU,6,16,train
playing pan pipes,Wf4Pee6mjPw,37,47,train
folding paper,Wf5LzY4dnco,87,97,train
licking,Wf5MX0p6g4E,1,11,train
gargling,Wf5ohL8jZXs,40,50,train
moving furniture,Wf5uB2ndhFo,1,11,train
celebrating,Wf6VkBoxH24,48,58,train
folding clothes,Wf6qcRapYzA,5,15,train
blowing out candles,Wf7t4sd0rnw,18,28,train
peeling potatoes,Wf8XRoawvnc,133,143,train
eating cake,Wf8es9u06VI,36,46,train
sanding floor,Wf8lMAW42qA,298,308,train
using megaphone,Wf9Cfn65bdk,31,41,train
shooting goal (soccer),Wf9GzonVqLI,4,14,train
massaging back,WfA9Ghlivcs,7,17,train
rock climbing,WfAKZsamcRA,23,33,train
using a power drill,WfAZ6eT6Uuc,0,10,train
swinging on something,WfAysV37FXI,0,10,train
surfing water,WfCEUUd-8UE,6,16,train
playing oboe,WfCFJuYchlQ,3,13,train
using a microscope,WfCX9o9GavY,101,111,train
polishing metal,WfCn1_fogF0,203,213,train
passing soccer ball,WfCn7GMIWqw,143,153,train
stretching arm,WfDQYIbqr8g,49,59,train
snatch weight lifting,WfDWMzDrzNw,0,10,train
doing sudoku,WfDeZTD5Ekc,30,40,train
fidgeting,WfE1YdS2WTo,170,180,train
decorating the christmas tree,WfENbUHHr_g,3,13,train
playing bass guitar,WfFA4ZSYcec,0,10,train
peeling apples,WfHGY2vq6-c,40,50,train
shaping bread dough,WfHls5Ut4LE,15,25,train
air drumming,WfIAFJMMJhw,0,10,train
blowing out candles,WfJ_VM1sHTE,53,63,train
playing nose flute,WfJxjIUqyyE,5,15,train
clean and jerk,WfLKOTZgAP0,69,79,train
preparing salad,WfLOftGYJ08,16,26,train
gargling,WfLWuDIZOUg,75,85,train
playing rounders,WfLXrNmISWM,109,119,train
attending conference,WfM7VY2Dw0k,18,28,train
smoking,WfMDt24gn6s,234,244,train
baby waking up,WfMFZ5xOXi8,0,10,train
swing dancing,WfMoFET47G8,33,43,train
dancing macarena,WfODYIg4EuU,2,12,train
sharpening pencil,WfOEsXjZY8g,65,75,train
using bagging machine,WfOHCvjMKlo,0,10,train
tying necktie,WfOiSxLZEfk,77,87,train
sleeping,WfP4wbMlTqg,17,27,train
laying stone,WfQ77KhG8kU,176,186,train
photocopying,WfQz_WFr3kg,0,10,train
being excited,WfR7SHL55u0,7,17,train
pretending to be a statue,WfRCMzGzdTs,55,65,train
head stand,WfREGPqvyIg,27,37,train
playing didgeridoo,WfRIOwy9Jo0,44,54,train
snorkeling,WfRRymA0zic,2,12,train
jogging,WfRTRSYvYaA,5,15,train
belly dancing,WfReigRwWL8,23,33,train
hurling (sport),WfRfqYbPYzg,416,426,train
luge,WfRiu9bmszU,1,11,train
sailing,WfRk_CQPFnw,0,10,train
playing paintball,WfS2dvKNlPU,123,133,train
zumba,WfSA4OpbGO8,157,167,train
playing paintball,WfSKtHL-FQw,80,90,train
sailing,WfSNMONfzLA,495,505,train
sailing,WfSRlSIy080,31,41,train
playing violin,WfSU57inojY,4,14,train
tossing salad,WfSYNLZ7PiY,130,140,train
carving marble,WfScumOJ6vM,11,21,train
long jump,WfSpyYk-Mzs,14,24,train
playing rounders,WfSrmlOw7_g,0,10,train
roasting marshmallows,WfSuEn7jQq0,54,64,train
swimming butterfly stroke,WfSvqb5UFHk,29,39,train
abseiling,WfTEnPj3R_E,10,20,train
playing xylophone,WfTGC-UvL9E,54,64,train
tasting food,WfTQoLWxhsM,285,295,train
sneezing,WfUUdXB-EiM,19,29,train
swinging baseball bat,WfU_eiMQ55s,43,53,train
washing hair,WfWs2MgExwI,12,22,train
playing harp,WfXyUY4ctG0,61,71,train
playing marbles,WfY03rVJMRE,22,32,train
playing pinball,WfYTTM-VucE,56,66,train
juggling fire,WfYlk2uqR4Y,0,10,train
blowing glass,WfZ3yXQkDcE,645,655,train
playing scrabble,WfZyHypeXZI,15,25,train
cartwheeling,Wf_4P3dwBaI,18,28,train
swimming front crawl,Wf_iTOuIta0,28,38,train
headbutting,Wf_jGBAa5T0,2,12,train
playing poker,Wf_lUyLMqtA,25,35,train
petting animal (not cat),Wf_nga1Qi-U,0,10,train
finger snapping,Wfa4EBWR9KU,6,16,train
playing gong,Wfb3UJl86mk,77,87,train
listening with headphones,WfbR1-k770E,72,82,train
kitesurfing,WfbgubiyMcQ,107,117,train
playing flute,Wfc6BHULDzI,1,11,train
playing piccolo,Wfc6BHULDzI,42,52,train
filling eyebrows,WfcLGm6cCAo,95,105,train
opening bottle (not wine),WfdkMRX9z8Y,0,10,train
roller skating,WfdxbL3NDtI,0,10,train
swimming butterfly stroke,WferZf1Ax9s,180,190,train
climbing a rope,WfgOL49bCXI,20,30,train
abseiling,WfgmGlNEId0,234,244,train
smoking hookah,Wfh79XwCNW8,2,12,train
shaping bread dough,Wfhh0JowmKw,31,41,train
pulling espresso shot,WfhszeLt40k,9,19,train
playing bagpipes,WfjCvieH1gU,42,52,train
scrubbing face,WfjEESkcK3g,278,288,train
rolling pastry,WfjIoM82SJ0,27,37,train
bowling,Wfjo39y48e4,7,17,train
long jump,Wfjo7u8XnMI,0,10,train
separating eggs,WfjzlX5XQBo,13,23,train
tasting beer,WfkD9yv9dbs,203,213,train
riding snow blower,WfkIQTN5hes,88,98,train
hitting baseball,Wfkx3B0pZGY,2,12,train
waxing eyebrows,WflDCDePMbE,55,65,train
pirouetting,WfmO1PX0N3k,0,10,train
skipping stone,WfmaXQpd6jI,0,10,train
playing slot machine,WfnbLJVc6kA,16,26,train
sipping cup,WfntDyn3Ml8,19,29,train
making jewelry,Wfo2LU8iP5Q,319,329,train
skiing slalom,Wfp66NQLAMY,88,98,train
flipping pancake,WfpAqCRF_CM,1,11,train
springboard diving,Wfq4_1NJe8U,10,20,train
fidgeting,Wfr1I5Q8hqc,97,107,train
playing beer pong,WfrFSMVIA1o,35,45,train
brushing floor,WfrnmLp3TdU,73,83,train
filling eyebrows,WfsBb1U-N2w,241,251,train
sticking tongue out,Wfsy3DrIm60,52,62,train
riding a bike,WftPTDLsKHM,14,24,train
looking in mirror,Wfu-O07cg-g,0,10,train
dancing gangnam style,Wfu2IO78uPw,19,29,train
dunking basketball,WfuIPPOKMfw,0,10,train
battle rope training,WfuUwROPkxQ,0,10,train
needle felting,WfuZxVe40IY,164,174,train
sawing wood,Wfug7oD8ws8,1,11,train
shoot dance,WfuvtixNNSI,0,10,train
trimming trees,Wfv44wPqxUI,9,19,train
making bubbles,WfvOkzDdXZ0,39,49,train
arguing,WfvYBBArIs8,8,18,train
decorating the christmas tree,WfvZRfzeRW8,67,77,train
catching fish,WfwLviRwFgo,4,14,train
rope pushdown,WfwdsrEHQSI,12,22,train
laying tiles,WfyUeteBzIE,991,1001,train
putting in contact lenses,Wfy_eiic_o0,163,173,train
dining,Wfykhv7PqUs,28,38,train
skipping stone,WfzNeZKlefI,3,13,train
tasting food,WfzRPv0fM6Y,191,201,train
pushing wheelchair,WfzRw-MZTUk,148,158,train
gymnastics tumbling,WfzYY8HK0I4,5,15,train
egg hunting,Wfzf5wZaWro,11,21,train
picking blueberries,Wg0xT10rVUk,31,41,train
fixing hair,Wg1iL8qTK7s,38,48,train
grooming dog,Wg2YBbVa9Yc,326,336,train
tapping pen,Wg3RvmWZ09o,41,51,train
playing drums,Wg3gViyqsXk,346,356,train
roasting pig,Wg43VfaeHU0,270,280,train
disc golfing,Wg5zemDCNjs,755,765,train
pouring beer,Wg6Dq470bHI,14,24,train
playing ice hockey,Wg6IIosoU9U,95,105,train
