label,youtube_id,time_start,time_end,split
staring,l5w_YCRrO8M,0,10,train
cracking knuckles,l5wbFdtIA2U,29,39,train
cleaning pool,l5wbzj8VaOE,15,25,train
salsa dancing,l5xP494kXaE,21,31,train
playing shuffleboard,l5xW6UZWwBs,39,49,train
pull ups,l5ximzTV0Yg,25,35,train
playing flute,l5zbvie11UQ,163,173,train
dining,l5zmsuz4MF0,9,19,train
passing American football (in game),l6-LrWjZCyE,4,14,train
hand washing clothes,l60fSyoRJkQ,45,55,train
steering car,l62hLvey6y4,29,39,train
contact juggling,l649G2QFX40,234,244,train
playing maracas,l64tbWe57Lk,4,14,train
riding unicycle,l65-BCe0BX8,14,24,train
throwing discus,l65F4kro2qk,1,11,train
looking in mirror,l65ISt2b3j4,0,10,train
riding mechanical bull,l65WRl8AXWs,6,16,train
using megaphone,l65l8VSbK6U,26,36,train
breakdancing,l66NOWuh9d0,0,10,train
dancing macarena,l67F2zTTqNw,0,10,train
playing lute,l67XaRXhGwA,6,16,train
playing xylophone,l67iVtUYAaI,3,13,train
breaking boards,l68ELN5LQf4,70,80,train
eating cake,l68Je11ro6s,5,15,train
doing aerobics,l69Hhgr0esk,202,212,train
pulling rope (game),l69pfonIuBk,11,21,train
shining shoes,l6AO9EXxTi4,5,15,train
longboarding,l6ASYIamh9w,116,126,train
clean and jerk,l6A_sJBnOOQ,1,11,train
sailing,l6C2sd9CSBY,51,61,train
shearing sheep,l6CIbuSUID0,193,203,train
shouting,l6CUtgay8nw,5,15,train
bouncing on bouncy castle,l6CiqAxHHdY,49,59,train
swing dancing,l6CrXrj01GA,102,112,train
washing hair,l6DDaCo7IXg,11,21,train
arresting,l6DE-ZNvGGE,24,34,train
dancing ballet,l6DEACkxXZU,162,172,train
playing drums,l6DNbps_KOs,7,17,train
scuba diving,l6DVXUQWMxE,82,92,train
brushing teeth,l6DVhMahxBQ,2,12,train
pull ups,l6DYHNokffk,3,13,train
applying cream,l6E25FIziCk,53,63,train
bowling,l6EBz8lMGWk,61,71,train
canoeing or kayaking,l6ECiER1aZ4,271,281,train
dancing ballet,l6ED-NZSyOw,1071,1081,train
snatch weight lifting,l6EG9GQuGFs,4,14,train
bungee jumping,l6ENdKGw4I4,155,165,train
canoeing or kayaking,l6Ec7D-Kfc8,53,63,train
cutting orange,l6Eo6srHdQY,0,10,train
shot put,l6Ev5l39BO4,14,24,train
installing carpet,l6F3wmewDWo,176,186,train
playing guitar,l6FURxh9rOY,279,289,train
playing monopoly,l6HH9Ig9lYk,14,24,train
hitting baseball,l6HRMlRsxNU,383,393,train
making snowman,l6HbqGVsifk,11,21,train
high kick,l6HcHLbfKM8,0,10,train
golf putting,l6HfxPVPbrc,13,23,train
base jumping,l6IE1uMkHuk,23,33,train
arranging flowers,l6IEiRMVjow,560,570,train
tapping pen,l6IRThAbKn0,42,52,train
spelunking,l6IW6gwl0E4,91,101,train
auctioning,l6JGOjKohos,0,10,train
crossing eyes,l6JJh3m2cBo,0,10,train
jumpstyle dancing,l6JMqckYAVE,10,20,train
playing ping pong,l6JWdm0W4h4,6,16,train
preparing salad,l6JcOKy6Uws,58,68,train
shooting basketball,l6KHkd5ArQw,52,62,train
climbing tree,l6KiYYFiKDY,101,111,train
golf driving,l6KpqTePcn4,7,17,train
building shed,l6L1uHiBpiM,61,71,train
playing tennis,l6LMnsfWDf8,152,162,train
walking with crutches,l6LpiBlzqtg,364,374,train
playing bagpipes,l6MXPHBXtms,111,121,train
shining flashlight,l6NKoxnS2CQ,40,50,train
playing keyboard,l6PH3Vm-63Y,21,31,train
playing xylophone,l6QnWTPHHqU,3,13,train
cutting apple,l6S09lKaDEs,0,10,train
tying bow tie,l6T-ZquCkTg,24,34,train
surfing water,l6T1KU1Kz5Y,386,396,train
drinking shots,l6ThqoTQDh0,8,18,train
playing poker,l6Tm_NbYha4,734,744,train
preparing salad,l6UVKkt0sPw,201,211,train
skipping rope,l6WGJtNFf3k,103,113,train
playing squash or racquetball,l6WlI3arD8Y,323,333,train
doing jigsaw puzzle,l6Ws_5zt3TI,145,155,train
capsizing,l6YZyY4e-H0,9,19,train
